team,rank,elo
France,1,2200
Spain,2,2199
Argentina,3,2197
England,4,2155
Portugal,5,2101
Brazil,6,2099
Netherlands,7,2096
Morocco,8,2094
Belgium,9,2076
Germany,10,2072
Croatia,11,2060
Italy,12,2046
Colombia,13,2039
Senegal,14,2036
Mexico,15,2029
USA,16,2022
Uruguay,17,2022
Japan,18,2011
Switzerland,19,2001
Denmark,20,1977
IR Iran,21,1972
Türkiye,22,1958
Ecuador,23,1954
Austria,24,1953
Korea Republic,25,1949
Nigeria,26,1946
Australia,27,1942
Algeria,28,1928
Egypt,29,1927
Canada,30,1921
Norway,31,1916
Ukraine,32,1912
Panama,33,1907
Côte d'Ivoire,34,1900
Poland,35,1896
Russia,36,1894
Wales,37,1893
Sweden,38,1885
Serbia,39,1879
Paraguay,40,1875
Czechia,41,1873
Hungary,42,1872
Scotland,43,1870
Tunisia,44,1857
Cameroon,45,1855
Congo DR,46,1853
Greece,47,1851
Slovakia,48,1849
Venezuela,49,1844
Uzbekistan,50,1842
Costa Rica,51,1837
Mali,52,1836
Peru,53,1833
Chile,54,1833
Qatar,55,1833
Romania,56,1829
Iraq,57,1826
Slovenia,58,1825
Republic of Ireland,59,1817
South Africa,60,1811
Saudi Arabia,61,1803
Burkina Faso,62,1796
Jordan,63,1777
Albania,64,1774
Bosnia and Herzegovina,65,1772
Honduras,66,1768
North Macedonia,67,1761
United Arab Emirates,68,1759
Cabo Verde,69,1755
Northern Ireland,70,1752
Jamaica,71,1748
Georgia,72,1742
Finland,73,1738
Ghana,74,1738
Iceland,75,1737
Bolivia,76,1723
Israel,77,1723
Kosovo,78,1714
Oman,79,1710
Guinea,80,1698
Montenegro,81,1694
Curaçao,82,1693
Haiti,83,1691
Syria,84,1688
New Zealand,85,1682
Bulgaria,86,1680
Gabon,87,1674
Uganda,88,1667
Angola,89,1666
Benin,90,1662
Bahrain,91,1662
Zambia,92,1660
Thailand,93,1656
China PR,94,1656
Palestine,95,1650
Guatemala,96,1649
Belarus,97,1642
Luxembourg,98,1635
Vietnam,99,1633
El Salvador,100,1633
Mozambique,101,1632
Trinidad and Tobago,102,1631
Tajikistan,103,1630
Madagascar,104,1614
Equatorial Guinea,105,1607
Armenia,106,1604
Kyrgyz Republic,107,1603
Lebanon,108,1601
Comoros,109,1601
Kazakhstan,110,1596
Kenya,111,1596
Libya,112,1595
Tanzania,113,1594
Niger,114,1593
Mauritania,115,1586
The Gambia,116,1577
Sudan,117,1574
Korea DPR,118,1569
Sierra Leone,119,1567
Namibia,120,1567
Togo,121,1565
Indonesia,122,1563
Faroe Islands,123,1556
Azerbaijan,124,1556
Suriname,125,1552
Cyprus,126,1549
Malawi,127,1549
Rwanda,128,1547
Estonia,129,1542
Zimbabwe,130,1540
Nicaragua,131,1537
Guinea-Bissau,132,1531
Congo,133,1529
Kuwait,134,1529
Philippines,135,1519
India,136,1516
Latvia,137,1516
Malaysia,138,1512
Central African Republic,139,1510
Liberia,140,1506
Turkmenistan,141,1506
Burundi,142,1505
Dominican Republic,143,1505
Ethiopia,144,1499
Lesotho,145,1496
Botswana,146,1493
Singapore,147,1489
Lithuania,148,1488
Yemen,149,1480
Guyana,150,1480
New Caledonia,151,1469
St Kitts and Nevis,152,1469
Solomon Islands,153,1465
Fiji,154,1463
"Hong Kong, China",155,1460
Puerto Rico,156,1460
Tahiti,157,1454
Myanmar,158,1448
Moldova,159,1441
Vanuatu,160,1435
Malta,161,1427
Antigua and Barbuda,162,1426
Grenada,163,1422
Cuba,164,1421
Eswatini,165,1419
Bermuda,166,1417
St Lucia,167,1417
Papua New Guinea,168,1415
Afghanistan,169,1414
South Sudan,170,1412
St Vincent and the Grenadines,171,1410
Maldives,172,1398
Andorra,173,1390
Chinese Taipei,174,1371
Montserrat,175,1365
Nepal,176,1363
Cambodia,177,1360
Mauritius,178,1360
Barbados,179,1359
Belize,180,1356
Bangladesh,181,1350
Dominica,182,1348
Chad,183,1348
Eritrea,184,1339
Laos,185,1337
Bhutan,186,1333
Mongolia,187,1333
Cook Islands,188,1331
Aruba,189,1331
Samoa,190,1330
Sri Lanka,191,1326
American Samoa,192,1326
Brunei Darussalam,193,1318
Macau,194,1314
Cayman Islands,195,1312
São Tomé and Príncipe,196,1312
Djibouti,197,1310
Somalia,198,1298
Tonga,199,1294
Timor-Leste,200,1286
Guam,201,1286
Pakistan,202,1285
Gibraltar,203,1272
Seychelles,204,1267
Turks and Caicos Islands,205,1267
Liechtenstein,206,1267
Bahamas,207,1252
British Virgin Islands,208,1248
US Virgin Islands,209,1246
Anguilla,210,1229
San Marino,211,1200
